z,zErr,specClass,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z
-1.03729E-4,1.20486E-4,1,20.169441,19.102198,18.916109,18.808874,18.807816,0.045185,0.024162,0.024721,0.02381,0.043286
-1.17204E-4,6.94482E-5,1,23.478195,20.816158,18.755653,17.90431,17.500294,0.814212,2.399333,2.277637,1.112676,0.674762
-2.19839E-4,1.14852E-4,1,21.308298,20.116091,19.596081,19.358995,19.150864,0.094399,0.024451,0.023904,0.024344,0.058316
-4.69754E-6,9.09724E-5,1,20.064949,19.102598,18.968037,18.89967,18.954147,0.040683,0.018806,0.016867,0.018381,0.038479
-3.74359E-4,9.22392E-5,1,20.394871,19.361675,19.145948,19.068222,18.988451,0.053889,0.021506,0.016446,0.018862,0.04159
3.46698E-4,1.14588E-4,1,20.162167,19.181803,19.024736,18.959478,18.91581,0.052196,0.018021,0.020769,0.022526,0.040399
4.73609E-4,7.48981E-5,1,22.345514,20.035528,19.152643,18.663939,18.589676,0.34281,0.049696,0.022236,0.024238,0.06322
1.5751E-4,3.21047E-4,1,23.063993,20.641817,19.243221,18.817495,18.521854,0.974981,0.047854,0.02769,0.024686,0.045216
1.39698E-4,2.70127E-4,1,23.593649,22.202194,20.360813,19.585752,19.967079,0.760667,1.066783,13.404211,5.680647,1.075188
-3.89619E-4,1.20701E-4,1,19.985031,19.009747,18.897375,18.850592,18.909426,0.035048,0.016215,0.032749,0.027395,0.040465
-5.90008E-4,1.84788E-4,1,19.222168,19.374279,19.662462,19.964323,20.136269,0.025004,0.01447,0.016963,0.026595,0.091627
1.67862E-4,2.27171E-4,1,22.137642,20.319235,19.571718,19.28187,19.092627,0.164819,0.022722,0.017226,0.021644,0.077791
2.3588E-4,1.3493E-4,1,20.584864,19.178427,19.269493,19.340057,19.508226,0.051958,0.01887,0.019106,0.026857,0.054375
2.01211E-4,1.55134E-4,1,19.516256,19.700804,20.067646,20.273651,20.34474,0.028304,0.023676,0.023101,0.032181,0.121596
2.32161E-4,1.54837E-4,1,24.69866,21.424059,19.512028,18.240711,17.526012,0.770022,0.04487,0.020142,0.025567,0.020878
6.03105E-5,1.13922E-4,1,20.749964,19.45219,19.578201,19.742479,19.70685,0.056674,0.02568,0.020269,0.023847,0.065187
-1.42215E-4,7.77221E-5,1,20.584837,19.089901,18.483017,18.225624,18.539633,0.05672,0.020102,0.017235,0.0346,0.054977
-6.32327E-4,9.20392E-5,1,20.335539,19.314302,19.036938,18.871965,18.797092,0.048363,0.017666,0.014082,0.015312,0.037259
3.3775E-4,1.1729E-4,1,18.996861,19.06414,19.355661,19.656139,19.859226,0.02505,0.017906,0.016047,0.030227,0.082417
8.85886E-6,4.1784E-4,1,19.90638,19.681789,19.959579,20.18145,20.256872,0.038694,0.022222,0.022455,0.031053,0.099568
1.35766E-4,1.00158E-4,1,20.137791,19.096575,18.991495,19.186028,18.976107,0.102702,0.017809,0.026317,0.025706,0.052648
1.68192E-5,1.92928E-4,1,22.79685,20.610592,19.066656,18.688478,18.255894,0.589414,0.028974,0.026448,0.022058,0.038897
-4.61338E-5,1.0808E-4,1,22.586279,20.112373,18.999443,18.495565,18.477613,0.358014,0.039584,0.020363,0.020294,0.055664
3.89558E-4,9.82355E-5,1,20.847353,19.554832,19.146803,18.566566,18.774817,0.074659,0.019016,0.025008,0.017798,0.033266
5.70437E-4,9.54799E-5,1,20.859421,19.75268,19.279682,19.10931,19.676069,0.070353,0.022017,0.018946,0.018861,0.090337
5.72616E-4,8.00762E-5,1,20.395998,19.235201,19.028774,18.940111,18.880209,0.06781,0.019656,0.019497,0.02758,0.040443
7.1293E-5,1.3342E-4,1,20.786345,19.451645,19.596266,19.773825,19.913292,0.064542,0.020137,0.020484,0.024452,0.075699
2.04051E-4,2.20286E-4,1,19.159838,19.606089,20.175697,20.554869,21.1548,0.031813,0.019017,0.027543,0.047692,0.250205
6.85303E-5,1.69801E-4,1,20.13328,19.185549,18.959394,18.859196,18.850058,0.042679,0.021518,0.016203,0.020602,0.041292
2.50764E-5,1.09886E-4,1,20.514521,19.53373,19.357124,19.258629,19.241785,0.05375,0.029344,0.018464,0.024142,0.056571
-4.29445E-5,1.30905E-4,1,20.059299,19.002426,18.921814,18.936447,18.997063,0.034844,0.02474,0.017294,0.023523,0.043743
2.63239E-4,1.32061E-4,1,20.590782,19.467793,19.62487,19.624538,19.683466,0.064524,0.033489,0.02686,0.027459,0.07223
-2.95573E-4,1.2627E-4,1,20.115204,19.175049,19.071104,19.073486,19.085598,0.038197,0.021606,0.017038,0.025785,0.044465
5.16809E-4,7.58213E-5,1,20.760813,19.22328,18.559872,18.210808,17.885675,0.082493,0.021721,0.020936,0.018517,0.02294
-4.24687E-4,2.13546E-4,1,20.860035,20.43746,20.436594,20.521601,20.901081,0.079344,0.035463,0.051305,0.059761,0.225508
-2.47327E-4,1.13605E-4,1,21.390078,20.158863,19.750612,19.53812,19.578657,0.141881,0.031222,0.039598,0.040367,0.089412
-9.12297E-5,8.99843E-5,1,20.926886,19.317625,18.601505,18.288757,18.035221,0.078847,0.016316,0.013227,0.01532,0.031223
8.88154E-6,4.18809E-4,1,19.82386,19.54108,19.777487,19.984846,20.254274,0.03406,0.015623,0.025611,0.032672,0.165039
5.99917E-5,9.28256E-5,1,22.931299,20.443094,19.354639,18.87644,18.675053,0.372878,0.10873,0.040326,0.03205,0.04919
-1.28227E-4,7.40791E-5,1,21.116432,19.639359,18.350044,18.194401,18.735752,0.432641,3.220294,1.438925,1.678127,0.704628
1.16472E-4,9.20336E-5,1,20.558329,19.349436,19.142992,19.135288,19.046846,0.05765,0.020661,0.018567,0.036071,0.043506
-2.82239E-4,1.31451E-4,1,20.409973,19.200893,19.346863,19.496803,19.611565,0.049609,0.020902,0.017643,0.020038,0.06068
-5.17204E-4,1.08549E-4,1,20.181625,19.037376,19.041365,19.0896,19.175642,0.039785,0.022305,0.027891,0.021299,0.045147
-4.20844E-5,3.9938E-4,1,19.493927,19.248949,19.557108,19.818369,20.069468,0.037618,0.024385,0.024086,0.031817,0.114567
1.32692E-4,8.808E-5,1,20.021217,19.092344,18.451902,18.343512,18.145386,0.054262,0.028234,0.021316,0.02331,0.042221
-3.07706E-4,1.55349E-4,1,19.572296,19.00997,18.822147,18.796085,18.869902,0.028753,0.018155,0.015975,0.015086,0.03389
4.40433E-4,1.1631E-4,1,20.235355,19.054552,19.025026,19.054455,19.115515,0.045186,0.021684,0.015645,0.02175,0.042117
5.23733E-5,1.0363E-4,1,20.564697,19.283779,19.170641,19.168299,19.134886,0.054292,0.024582,0.017471,0.020982,0.041845
-1.3682E-4,4.40507E-4,1,19.978336,19.974051,20.304743,20.635498,20.7768,0.040314,0.019811,0.026836,0.043242,0.154235
-1.54025E-4,1.27857E-4,1,20.642467,19.285822,19.406878,19.484844,19.565702,0.061468,0.017073,0.019785,0.023832,0.056645
-3.22998E-4,1.05833E-4,1,20.021275,19.045721,18.84798,18.803101,18.92909,0.045167,0.022504,0.017993,0.018201,0.0406
5.56195E-4,1.33736E-4,1,20.478504,19.452261,19.271528,19.206774,19.300085,0.057195,0.023319,0.016068,0.019237,0.052146
1.71463E-5,3.8957E-4,1,20.346817,20.275127,20.674465,20.887257,21.295223,0.066178,0.041554,0.052161,0.086681,0.389683
2.14914E-4,1.28973E-4,1,20.493731,19.302818,19.374617,19.470015,19.462559,0.047545,0.023916,0.018011,0.023138,0.053551
-4.90009E-4,1.1239E-4,1,20.352697,19.410433,19.240839,19.200274,19.340755,0.042906,0.020011,0.024088,0.02157,0.050361
6.74771E-4,9.62116E-5,1,20.795677,19.36359,18.835875,18.891634,18.569347,0.065933,0.030275,0.014443,0.027906,0.036439
-3.42288E-5,1.04433E-4,1,20.071003,19.137493,18.879736,18.629177,18.602095,0.043313,0.02293,0.029552,0.038671,0.03808
1.13783E-3,1.33216E-4,1,20.398895,19.225471,19.266619,19.303175,19.38516,0.052295,0.019973,0.026507,0.023207,0.060637
2.7444E-4,1.07856E-4,1,20.221277,19.339811,19.136288,18.970575,19.030434,0.047709,0.020348,0.025818,0.020287,0.045734
2.34857E-4,2.05292E-4,1,22.658913,21.229218,19.753632,19.172428,18.687166,0.451613,0.085813,0.04466,0.056424,0.046427
-6.16671E-5,9.95565E-5,1,21.762197,19.344013,18.396603,18.02215,17.748617,0.209101,0.03751,0.032039,0.025953,0.035894
1.34133E-4,8.65976E-5,1,20.176802,19.036818,18.841251,18.801907,18.84218,0.038948,0.019706,0.013977,0.017908,0.037663
2.9052E-4,1.32774E-4,1,22.084337,20.464493,19.900362,19.591322,19.548273,0.188458,0.029549,0.021891,0.025473,0.063977
-1.46555E-4,1.03451E-4,1,20.315336,19.286383,19.06642,19.019413,19.036537,0.044192,0.021001,0.016895,0.017594,0.037372
9.44851E-5,1.15761E-4,1,20.466532,19.438509,19.421326,19.430828,19.499866,0.049167,0.022666,0.018017,0.022867,0.06091
2.12974E-4,3.95148E-4,1,19.692453,19.2293,19.408014,19.629902,19.642683,0.034042,0.018107,0.026841,0.02847,0.092054
-6.63168E-5,7.28278E-5,1,22.230717,19.874237,19.045757,18.895838,18.608383,0.30679,0.022839,0.018784,0.026574,0.054495
1.50216E-5,1.59071E-4,1,20.164583,19.750477,19.743988,19.803942,19.982971,0.043917,0.024937,0.024791,0.024592,0.084459
1.68526E-4,1.22145E-4,1,20.202394,19.050867,19.023596,19.026951,19.015221,0.066918,0.023634,0.028095,0.038275,0.070032
2.27994E-5,6.59752E-5,1,21.062109,19.107243,18.381187,18.240135,17.978125,0.141663,0.01996,0.017338,0.024246,0.047012
1.2767E-4,1.18969E-4,1,21.224195,20.144634,19.713894,19.770014,19.337313,0.08054,0.021189,0.018369,0.030689,0.04918
1.81615E-4,3.74278E-4,1,19.524948,19.420523,19.737494,20.08106,20.615368,0.033382,0.016477,0.038537,0.033087,0.190216
-2.51037E-5,6.47746E-5,1,20.710129,19.137527,18.591887,18.573139,18.440664,0.281402,1.287222,1.351745,1.77698,1.22322
-3.8883E-5,1.25408E-4,1,20.622875,19.343142,19.299303,19.34042,19.419693,0.060483,0.018385,0.017517,0.025651,0.047237
5.8898E-4,9.72227E-5,1,20.324894,19.320724,19.122154,18.984728,18.979689,0.057272,0.037092,0.023213,0.020277,0.043518
-3.67177E-4,6.34752E-5,1,21.542698,19.397778,18.419683,18.156296,17.988899,0.111049,0.015395,0.016799,0.016744,0.025278
5.66161E-5,1.1107E-4,1,20.194176,19.030384,18.883659,18.845394,18.77721,0.044257,0.021615,0.01953,0.0162,0.043613
-2.49686E-4,1.3976E-4,1,21.520548,19.551514,18.119556,17.439852,16.912935,0.921493,4.327199,1.548421,0.98849,0.641984
-5.9E-4,3.64101E-4,1,23.375145,21.200306,19.832863,19.190702,18.70145,0.643336,0.040112,0.025626,0.019454,0.034838
1.69057E-4,1.71943E-4,1,22.330933,19.633228,17.868299,17.20705,16.937883,0.18414,0.018301,0.019917,0.022925,0.02123
5.7023E-4,9.27998E-5,1,20.080519,19.135838,18.904684,18.830919,18.852034,0.039302,0.018589,0.021281,0.024163,0.041197
-5.73752E-4,1.87325E-4,1,21.004787,19.879711,19.75736,19.780333,19.721121,0.073728,0.018316,0.018534,0.022556,0.061858
-3.25286E-6,1.31655E-4,1,20.656176,19.388298,19.431396,19.582956,19.580645,0.054376,0.024892,0.018303,0.025424,0.058504
-4.60538E-4,9.84431E-5,1,20.022257,19.049736,18.832932,18.712996,18.67395,0.03806,0.021916,0.023185,0.027781,0.029354
4.51092E-4,1.35105E-4,1,22.768961,20.866035,20.462347,20.083548,19.59726,0.360905,0.031602,0.045798,0.03392,0.065954
5.1462E-4,1.17361E-4,1,20.662159,19.532242,19.283926,18.873976,18.86532,0.071705,0.029095,0.032356,0.027713,0.041702
2.93747E-4,8.18771E-5,1,20.334539,19.172419,18.988649,18.933662,18.944443,0.041467,0.014493,0.013599,0.018289,0.040916
-2.05789E-4,1.01829E-4,1,22.938658,20.606138,19.160954,18.735949,18.41638,0.47149,0.047096,0.023236,0.019098,0.031831
-3.00476E-5,4.08728E-4,1,19.6835,19.362843,19.482271,19.695282,19.9338,0.039696,0.054448,0.028588,0.038506,0.164594
3.24616E-4,7.53911E-5,1,20.332483,19.066412,18.466846,18.528103,18.15481,0.044917,0.023784,0.025752,0.024716,0.02635
-3.50886E-5,1.46082E-4,1,20.297552,19.215633,19.444588,19.656307,19.768602,0.044055,0.020839,0.021746,0.023515,0.082423
3.3046E-4,1.20699E-4,1,20.135391,19.151352,19.083399,19.114603,19.180101,0.053497,0.030371,0.030857,0.021397,0.066675
2.37338E-4,8.27851E-5,1,21.847769,19.357851,18.353182,18.090431,17.898563,0.209429,0.055587,0.027747,0.031565,0.037146
-1.91049E-4,1.17468E-4,1,20.504902,19.444101,19.403938,19.451424,19.463194,0.047936,0.02192,0.017093,0.021318,0.049815
2.7649E-4,1.3643E-4,1,22.025152,20.678873,19.787466,19.93581,19.891031,0.161326,0.028841,0.021998,0.02745,0.078796
5.61323E-4,7.74615E-5,1,20.027117,19.115963,18.921448,18.816078,18.822746,0.050514,0.025825,0.072645,0.032004,0.0459
4.24691E-4,3.36216E-4,1,21.488623,20.249826,19.819689,19.357141,19.066757,0.135291,0.035229,0.023658,0.023952,0.04578
1.9181E-4,1.05928E-4,1,20.578234,19.293652,19.24567,19.268908,19.286636,0.064613,0.031837,0.025577,0.032112,0.046559
1.95457E-4,4.44505E-4,1,19.742109,19.548122,19.901253,20.083244,20.400928,0.036859,0.026032,0.024154,0.035771,0.131586
7.41182E-4,1.29577E-4,1,20.854288,19.907694,19.619635,19.437841,19.384829,0.079755,0.024968,0.020856,0.032502,0.064844
-2.21454E-4,2.27199E-4,1,23.383766,21.468994,20.045307,19.762562,18.917944,0.457949,0.043554,0.021282,0.0425,0.044892
9.78529E-6,8.49189E-5,1,20.338669,19.346741,19.220575,19.173763,19.305502,0.054783,0.026725,0.022701,0.026116,0.076685
1.42167E-4,1.26243E-4,1,20.470798,19.164902,19.281143,19.366503,19.609999,0.050134,0.022636,0.016267,0.021848,0.059473
-5.60108E-5,1.12187E-4,1,21.073046,19.879389,19.413216,19.224186,19.153746,0.072741,0.015969,0.01723,0.018055,0.046904
-3.20889E-4,1.13976E-4,1,20.538586,19.542299,19.30788,19.22578,19.213633,0.047556,0.017729,0.019323,0.022639,0.051228
2.44984E-4,8.61524E-5,1,20.466175,19.317801,19.08152,19.098934,18.949078,0.047838,0.016099,0.017271,0.020196,0.037139
9.85201E-4,3.30745E-4,1,22.151924,19.655195,18.232073,17.786541,17.419306,0.285171,0.025556,0.017909,0.023388,0.03003
-1.33719E-4,6.63063E-5,1,20.568216,19.130417,18.551941,18.335464,18.18886,0.045734,0.02046,0.018555,0.01672,0.025546
-5.46141E-4,1.2767E-4,1,20.543701,19.321863,19.360023,19.505285,19.573315,0.047505,0.018632,0.016977,0.025165,0.052917
1.33459E-4,1.61811E-4,1,20.635082,19.545977,19.322872,19.051342,18.899485,0.052948,0.017366,0.024395,0.024689,0.038371
6.72131E-5,1.03402E-4,1,20.843941,19.627882,19.401625,19.341396,19.387878,0.061419,0.017675,0.020542,0.022973,0.049402
