z,zErr,specClass,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z
1.54528,1.709E-3,3,20.577785,19.810833,19.537336,19.211447,19.117388,0.059722,0.025065,0.021147,0.027724,0.053542
2.34409,2.14099E-3,3,20.752739,20.156685,20.054012,19.950747,19.984972,0.074609,0.028306,0.026868,0.034835,0.109807
1.00652,2.77008E-3,3,19.921392,19.763613,19.561693,19.659662,19.670422,0.038805,0.036589,0.020848,0.026229,0.086572
1.33651,1.28892E-3,3,20.591438,20.441088,20.210283,20.18668,20.063631,0.062739,0.03149,0.028494,0.040757,0.121444
0.783687,1.51284E-3,3,20.329649,19.830212,19.754179,19.675404,19.433561,0.050798,0.032115,0.028824,0.030656,0.072729
0.598484,1.34441E-3,3,19.709438,19.305281,19.399494,19.204988,19.188044,0.034028,0.023083,0.020762,0.021026,0.063411
1.58176,2.20994E-3,3,20.296282,20.019003,20.079596,19.881384,19.703405,0.050275,0.027707,0.02789,0.031312,0.091343
1.30422,1.62497E-3,3,19.776564,19.77029,19.581259,19.527451,19.630205,0.040485,0.02594,0.026082,0.026544,0.084268
1.24991,1.11086E-3,3,19.519316,19.254446,18.889755,18.727831,18.805883,0.028421,0.029177,0.016653,0.018764,0.049734
1.40176,1.63229E-3,3,19.774515,19.598522,19.360811,19.291529,19.23851,0.034244,0.030623,0.018947,0.022938,0.065047
1.22928,1.29604E-3,3,20.405413,20.065296,19.67152,19.502504,19.551414,0.051773,0.025473,0.020611,0.028721,0.083977
1.96348,4.77029E-3,3,19.674141,19.600363,19.405895,19.236366,19.036791,0.034213,0.028768,0.023637,0.025887,0.051808
1.77161,1.32101E-3,3,20.221659,20.100985,19.957729,19.685949,19.632885,0.043724,0.027828,0.02932,0.027371,0.074937
0.526902,1.27342E-3,3,19.902748,19.349079,19.307074,19.022423,18.815434,0.034945,0.022153,0.017076,0.01749,0.040495
2.22512,1.49227E-3,3,20.482185,20.08987,19.987637,19.830551,19.598515,0.052468,0.027013,0.023032,0.034424,0.074681
1.15984,1.37277E-3,3,20.360397,20.301697,20.009853,20.068205,20.034637,0.052371,0.031422,0.027655,0.03185,0.114897
1.59316,2.69993E-3,3,20.009903,19.510204,19.412224,19.108744,19.06992,0.035766,0.019773,0.022631,0.02945,0.046653
1.64821,1.73053E-3,3,19.756142,19.589304,19.452915,19.1761,19.111008,0.035791,0.016669,0.022639,0.021463,0.048148
0.523296,1.46349E-3,3,20.182123,19.713188,19.772949,19.425718,19.286049,0.039182,0.022766,0.026421,0.026041,0.054805
2.92032,1.24755E-3,4,20.874006,19.678753,19.414009,19.289124,19.197586,0.072146,0.022048,0.016789,0.028334,0.053734
1.28721,1.55552E-3,3,20.566267,20.437462,20.11717,20.035444,19.889893,0.053941,0.030676,0.02482,0.035444,0.091749
1.2015,1.2919E-3,3,20.003471,19.899086,19.465405,19.238621,19.154749,0.038621,0.020903,0.021082,0.022227,0.049507
1.23318,1.34602E-3,3,22.935846,21.36281,20.061605,19.531485,18.846167,0.392875,0.053894,0.024918,0.023816,0.04372
1.22564,1.45049E-3,3,19.541901,19.419222,19.066372,19.004549,18.951277,0.038866,0.022494,0.015173,0.025425,0.046414
0.820779,1.24988E-3,3,19.396133,19.106451,19.007999,18.991634,18.773003,0.027778,0.021144,0.014136,0.020255,0.038899
1.84464,1.57964E-3,3,19.407297,19.331573,19.21171,18.897814,18.896679,0.030744,0.021823,0.015023,0.019948,0.050847
2.56736,1.0616E-3,3,20.637039,19.518528,19.230022,19.145491,18.911493,0.059753,0.018372,0.020406,0.019603,0.043048
1.488,1.45399E-3,3,20.51939,20.49497,20.338053,20.093977,19.913563,0.054637,0.026937,0.032884,0.033152,0.093552
2.10247,1.53001E-3,3,19.259771,19.048992,18.787918,18.643475,18.464701,0.02594,0.024765,0.016418,0.018393,0.031307
1.37887,1.19276E-3,3,20.049679,19.895182,19.519297,19.380514,19.296524,0.040254,0.030128,0.024947,0.025109,0.064814
1.78663,2.552E-3,3,19.202555,19.110321,19.117159,18.878632,18.976696,0.035471,0.024729,0.018365,0.024586,0.052799
0.81553,1.78382E-3,3,20.381313,20.095222,19.896189,19.915001,19.941158,0.052456,0.031026,0.025905,0.034503,0.117882
1.4473,1.97874E-3,3,20.322968,20.34407,20.136806,19.983002,20.045336,0.061094,0.033246,0.031233,0.032948,0.126874
